Longitude,Latitude
9.076605,48.959695
9.076615,48.959752
9.076642,48.959783
9.076707,48.959790
9.076744,48.959801
9.076776,48.959822
9.076792,48.959854
9.076808,48.959893
9.076782,48.959921
9.076739,48.959938
9.076707,48.959952
9.076712,48.960009
9.076712,48.960048
9.076717,48.960093
9.076723,48.960153
9.076733,48.960206
9.076749,48.960301
9.076755,48.960351
9.076755,48.960400
9.076755,48.960453
9.076755,48.960509
9.076760,48.960569
9.076766,48.960636
9.076771,48.960692
9.076771,48.960756
9.076792,48.960826
9.076819,48.960889
9.076835,48.960960
9.076868,48.961037
9.076894,48.961111
9.076921,48.961199
9.076948,48.961284
9.076975,48.961358
9.076996,48.961414
9.077023,48.961513
9.077055,48.961590
9.077066,48.961661
9.077071,48.961731
9.077077,48.961791
9.077050,48.961858
9.077034,48.961900
9.077028,48.961935
9.076996,48.961967
9.076948,48.962006
9.076889,48.962048
9.076851,48.962080
9.076803,48.962126
9.076749,48.962168
9.076696,48.962207
9.076637,48.962249
9.076589,48.962274
9.076513,48.962316
9.076449,48.962376
9.076379,48.962418
9.076331,48.962457
9.076272,48.962499
9.076213,48.962538
9.076165,48.962573
9.076095,48.962608
9.076025,48.962633
9.075982,48.962650
9.075913,48.962668
9.075832,48.962689
9.075730,48.962714
9.075644,48.962735
9.075542,48.962760
9.075408,48.962781
9.075323,48.962795
9.075199,48.962809
9.075065,48.962812
9.074904,48.962826
9.074791,48.962837
9.074679,48.962841
9.074572,48.962851
9.074486,48.962858
9.074427,48.962865
9.074346,48.962865
9.074234,48.962879
9.074148,48.962883
9.074062,48.962879
9.073971,48.962893
9.073847,48.962900
9.073745,48.962911
9.073627,48.962918
9.073536,48.962922
9.073440,48.962929
9.073322,48.962936
9.073230,48.962943
9.073123,48.962943
9.073027,48.962950
9.072925,48.962960
9.072823,48.962967
9.072726,48.962967
9.072656,48.962971
9.072565,48.962978
9.072469,48.962985
9.072383,48.962992
9.072302,48.963003
9.072211,48.963006
9.072125,48.963017
9.071991,48.963020
9.071932,48.963024
9.071820,48.963024
9.071739,48.963034
9.071653,48.963041
9.071557,48.963031
9.071449,48.963006
9.071385,48.962981
9.071310,48.962964
9.071240,48.962946
9.071074,48.962900
9.070951,48.962858
9.070849,48.962830
9.070752,48.962805
9.070666,48.962784
9.070618,48.962767
9.070505,48.962742
9.070387,48.962700
9.070285,48.962675
9.070210,48.962647
9.070103,48.962615
9.069985,48.962583
9.069899,48.962555
9.069819,48.962527
9.069776,48.962513
9.069722,48.962492
9.069642,48.962460
9.069550,48.962439
9.069470,48.962411
9.069357,48.962383
9.069250,48.962355
9.069186,48.962323
9.069105,48.962302
9.069003,48.962274
9.068907,48.962238
9.068842,48.962210
9.068751,48.962193
9.068649,48.962164
9.068574,48.962136
9.068494,48.962115
9.068397,48.962083
9.068311,48.962055
9.068252,48.962041
9.068150,48.962009
9.068097,48.961988
9.068038,48.961971
9.067984,48.961932
9.067925,48.961897
9.067893,48.961872
9.067871,48.961851
9.067855,48.961830
9.067877,48.961805
9.067893,48.961773
9.067920,48.961731
9.067930,48.961706
9.067941,48.961671
9.067941,48.961640
9.067941,48.961583
9.067936,48.961513
9.067936,48.961449
9.067925,48.961400
9.067909,48.961330
9.067898,48.961270
9.067887,48.961206
9.067882,48.961146
9.067866,48.961080
9.067855,48.961027
9.067845,48.960963
9.067834,48.960903
9.067818,48.960826
9.067812,48.960787
9.067807,48.960759
9.067802,48.960734
9.067786,48.960671
9.067775,48.960625
9.067769,48.960572
9.067748,48.960513
9.067737,48.960453
9.067727,48.960424
9.067721,48.960389
9.067716,48.960351
9.067710,48.960312
9.067700,48.960262
9.067694,48.960203
9.067673,48.960139
9.067673,48.960079
9.067662,48.960051
9.067641,48.960019
9.067609,48.959956
9.067576,48.959893
9.067544,48.959843
9.067517,48.959791
9.067490,48.959731
9.067464,48.959671
9.067458,48.959618
9.067458,48.959576
9.067458,48.959540
9.067464,48.959505
9.067496,48.959484
9.067609,48.959512
9.067727,48.959523
9.067828,48.959533
9.067914,48.959537
9.067995,48.959540
9.068075,48.959544
